,國文,英文,數學,社會,自然
0,7,7,7,15,9
1,8,15,6,6,8
2,15,13,8,12,8
3,6,10,11,6,14
4,12,9,10,10,7
5,13,6,12,14,7
6,14,14,9,7,14
7,7,12,6,7,11
8,8,15,14,7,15
9,15,15,13,15,8
10,7,9,11,12,12
11,11,8,12,9,9
12,6,9,8,11,9
13,8,13,13,8,6
14,9,15,7,15,15
15,9,12,9,10,7
16,10,14,10,9,14
17,14,10,6,12,12
18,15,11,14,6,14
19,9,9,14,7,15
20,8,9,8,12,13
21,8,6,12,12,10
22,12,9,14,10,11
23,11,9,10,7,6
24,15,11,6,10,9
25,11,14,15,10,11
26,14,14,13,9,7
27,8,7,7,9,11
28,9,7,13,7,13
29,6,7,12,15,9
30,9,15,9,9,12
31,7,14,15,15,7
32,11,9,13,6,6
33,6,10,10,10,7
34,14,12,10,15,10
35,8,6,9,14,12
36,7,13,13,8,15
37,7,6,6,13,9
38,10,15,14,6,7
39,15,13,6,7,13
40,8,8,7,11,12
41,7,13,8,7,6
42,8,13,11,7,13
43,6,8,14,14,14
44,12,11,8,15,9
45,9,8,7,15,11
46,15,11,15,6,15
47,7,10,12,6,7
48,11,9,9,7,13
49,12,7,8,15,12
50,7,8,10,6,10
51,13,7,9,8,6
52,12,15,6,6,10
53,7,10,11,14,7
54,12,10,13,8,15
55,13,11,12,7,7
56,15,12,8,8,9
57,10,6,11,9,12
58,15,12,10,12,8
59,15,15,13,7,14
60,7,6,9,12,10
61,11,8,12,14,6
62,11,14,10,10,15
63,14,15,15,13,9
64,7,9,12,8,14
65,12,8,9,8,12
66,10,15,14,7,9
67,8,14,10,13,15
68,8,9,13,15,8
69,8,10,9,6,13
70,13,10,15,11,14
71,8,7,15,9,11
72,8,11,15,6,7
73,14,13,12,7,12
74,15,10,10,13,6
75,7,9,8,14,13
76,7,7,8,12,7
77,9,10,8,7,6
78,12,6,9,14,8
79,6,14,6,14,9
80,8,12,11,9,7
81,12,7,6,14,9
82,15,6,9,14,11
83,14,7,11,15,7
84,15,15,6,7,9
85,15,15,6,8,12
86,10,15,6,8,7
87,14,12,12,9,13
88,13,8,9,6,10
89,7,7,13,11,10
90,7,10,13,9,11
91,13,12,10,8,10
92,11,15,10,9,8
93,15,15,12,14,11
94,10,9,15,15,11
95,13,14,10,13,7
96,13,11,9,13,10
97,6,7,6,9,14
98,13,10,12,14,11
99,11,7,11,9,6
